,Surname,#Awards,Education
480,Press,0,"['Harvard University', 'California Institute of Technology']"
481,Rabana,0,[]
482,Rozenberg,10,['Polish Academy of Sciences']
483,Rabin,10,"['Hebrew University of Jerusalem', 'MSc', 'University of Pennsylvania', 'Princeton University', 'PhD']"
484,Radev,2,[]
485,Raman,4,[]
486,Randell,0,['Imperial College London']
487,Ravn,2,"['University of Copenhagen', 'Technical University of Denmark']"
488,Reddy,6,"['University of Madras', 'BE', 'University of New South Wales', 'MTech', 'Stanford University', 'PhD']"
489,Reed,0,['MIT']
490,Reenskaug,0,[]
491,Reynolds,2,"['Purdue University', 'Ph.D.', 'Harvard University']"
492,Reynolds,0,['University of Southern California']
493,Riet,0,"['University of Amsterdam', 'Ph.D.']"
494,Richards,0,[]
495,Richards,1,['University of Cambridge']
496,Ries,0,[]
497,Rijsbergen,1,"['University of Western Australia', 'University of Cambridge']"
